skill	source	installed_at_utc
acquire-codebase-knowledge	github/awesome-copilot	2026-08-05T21:47:58Z
quality-playbook	github/awesome-copilot	2026-08-05T21:47:58Z
threat-model-analyst	github/awesome-copilot	2026-08-05T21:47:58Z
refactor	github/awesome-copilot	2026-08-05T21:47:58Z
code-review	getsentry/skills	2026-08-05T21:47:58Z
code-simplifier	getsentry/skills	2026-08-05T21:47:58Z
find-bugs	getsentry/skills	2026-08-05T21:47:58Z
security-threat-model	openai/skills	2026-08-05T21:47:58Z
supabase	supabase/agent-skills	2026-08-05T21:47:58Z
supabase-postgres-best-practices	supabase/agent-skills	2026-08-05T21:47:58Z
vercel-react-best-practices	vercel-labs/agent-skills	2026-08-05T21:47:58Z
web-design-guidelines	vercel-labs/agent-skills	2026-08-05T21:47:58Z
api-and-interface-design	addyosmani/agent-skills	2026-08-05T21:47:58Z
source-driven-development	addyosmani/agent-skills	2026-08-05T21:47:58Z
security-and-hardening	addyosmani/agent-skills	2026-08-05T21:47:58Z
test-driven-development	addyosmani/agent-skills	2026-08-05T21:47:58Z
code-review-and-quality	addyosmani/agent-skills	2026-08-05T21:47:58Z
debugging-and-error-recovery	addyosmani/agent-skills	2026-08-05T21:47:58Z
incremental-implementation	addyosmani/agent-skills	2026-08-05T21:47:58Z
doubt-driven-development	addyosmani/agent-skills	2026-08-05T21:47:58Z
performance-optimization	addyosmani/agent-skills	2026-08-05T21:47:58Z
ci-cd-and-automation	addyosmani/agent-skills	2026-08-05T21:47:58Z
observability-and-instrumentation	addyosmani/agent-skills	2026-08-05T21:47:58Z
documentation-and-adrs	addyosmani/agent-skills	2026-08-05T21:47:58Z
api-design-principles	wshobson/agents	2026-08-05T21:47:58Z
openapi-spec-generation	wshobson/agents	2026-08-05T21:47:58Z
auth-implementation-patterns	wshobson/agents	2026-08-05T21:47:58Z
error-handling-patterns	wshobson/agents	2026-08-05T21:47:58Z
e2e-testing-patterns	wshobson/agents	2026-08-05T21:47:58Z
secrets-management	wshobson/agents	2026-08-05T21:47:58Z
sast-configuration	wshobson/agents	2026-08-05T21:47:58Z
deployment-pipeline-design	wshobson/agents	2026-08-05T21:47:58Z
nextjs-app-router-patterns	wshobson/agents	2026-08-05T21:47:58Z
nodejs-backend-patterns	wshobson/agents	2026-08-05T21:47:58Z
sql-optimization-patterns	wshobson/agents	2026-08-05T21:47:58Z
